session_id,trial,intended,outcome,hit
2026-07-21T00:00:41.909Z,1,H,T,0
2026-07-21T00:00:41.909Z,2,H,H,1
2026-07-21T00:00:41.909Z,3,H,T,0
2026-07-21T00:00:41.909Z,4,H,H,1
2026-07-21T00:00:41.909Z,5,H,T,0
2026-07-21T00:00:41.909Z,6,H,T,0
2026-07-21T00:00:41.909Z,7,H,T,0
2026-07-21T00:00:41.909Z,8,H,T,0
2026-07-21T00:00:41.909Z,9,H,H,1
2026-07-21T00:00:41.909Z,10,H,H,1
2026-07-21T00:00:41.909Z,11,H,T,0
2026-07-21T00:00:41.909Z,12,H,H,1
2026-07-21T00:00:41.909Z,13,H,H,1
2026-07-21T00:00:41.909Z,14,H,T,0
2026-07-21T00:00:41.909Z,15,H,H,1
2026-07-21T00:00:41.909Z,16,H,T,0
2026-07-21T00:00:41.909Z,17,H,H,1
2026-07-21T00:00:41.909Z,18,H,H,1
2026-07-21T00:00:41.909Z,19,H,H,1
2026-07-21T00:00:41.909Z,20,H,T,0
2026-07-21T00:00:41.909Z,21,H,T,0
2026-07-21T00:00:41.909Z,22,H,H,1
2026-07-21T00:00:41.909Z,23,H,T,0
2026-07-21T00:00:41.909Z,24,H,H,1
2026-07-21T00:00:41.909Z,25,H,T,0
2026-07-21T00:00:41.909Z,26,H,H,1
2026-07-21T00:00:41.909Z,27,H,T,0
2026-07-21T00:00:41.909Z,28,H,H,1
2026-07-21T00:00:41.909Z,29,H,H,1
2026-07-21T00:00:41.909Z,30,H,H,1
2026-07-21T00:00:41.909Z,31,H,H,1
2026-07-21T00:00:41.909Z,32,H,T,0
2026-07-21T00:00:41.909Z,33,H,H,1
2026-07-21T00:00:41.909Z,34,H,H,1
2026-07-21T00:00:41.909Z,35,H,T,0
2026-07-21T00:00:41.909Z,36,H,T,0
2026-07-21T00:00:41.909Z,37,H,T,0
2026-07-21T00:00:41.909Z,38,H,H,1
2026-07-21T00:00:41.909Z,39,H,H,1
2026-07-21T00:00:41.909Z,40,H,H,1
2026-07-21T00:00:41.909Z,41,H,T,0
2026-07-21T00:00:41.909Z,42,H,H,1
2026-07-21T00:00:41.909Z,43,H,T,0
2026-07-21T00:00:41.909Z,44,H,H,1
2026-07-21T00:00:41.909Z,45,H,H,1
2026-07-21T00:00:41.909Z,46,H,T,0
2026-07-21T00:00:41.909Z,47,H,H,1
2026-07-21T00:00:41.909Z,48,H,T,0
2026-07-21T00:00:41.909Z,49,H,T,0
2026-07-21T00:00:41.909Z,50,H,T,0
2026-07-21T00:00:41.909Z,51,H,T,0
2026-07-21T00:00:41.909Z,52,H,H,1
2026-07-21T00:00:41.909Z,53,H,H,1
2026-07-21T00:00:41.909Z,54,H,H,1
2026-07-21T00:00:41.909Z,55,H,H,1
2026-07-21T00:00:41.909Z,56,H,H,1
2026-07-21T00:00:41.909Z,57,H,T,0
2026-07-21T00:00:41.909Z,58,H,H,1
2026-07-21T00:00:41.909Z,59,H,T,0
2026-07-21T00:00:41.909Z,60,H,H,1
2026-07-21T00:00:41.909Z,61,H,H,1
2026-07-21T00:00:41.909Z,62,H,H,1
2026-07-21T00:00:41.909Z,63,H,T,0
2026-07-21T00:00:41.909Z,64,H,T,0
2026-07-21T00:00:41.909Z,65,H,T,0
2026-07-21T00:00:41.909Z,66,H,H,1
2026-07-21T00:00:41.909Z,67,H,H,1
2026-07-21T00:00:41.909Z,68,H,T,0
2026-07-21T00:00:41.909Z,69,H,H,1
2026-07-21T00:00:41.909Z,70,H,H,1
2026-07-21T00:00:41.909Z,71,H,H,1
2026-07-21T00:00:41.909Z,72,H,T,0
2026-07-21T00:00:41.909Z,73,H,T,0
2026-07-21T00:00:41.909Z,74,H,H,1
2026-07-21T00:00:41.909Z,75,H,T,0
2026-07-21T00:00:41.909Z,76,H,T,0
2026-07-21T00:00:41.909Z,77,H,H,1
2026-07-21T00:00:41.909Z,78,H,T,0
2026-07-21T00:00:41.909Z,79,H,H,1
2026-07-21T00:00:41.909Z,80,H,H,1
2026-07-21T00:00:41.909Z,81,H,T,0
2026-07-21T00:00:41.909Z,82,H,H,1
2026-07-21T00:00:41.909Z,83,H,H,1
2026-07-21T00:00:41.909Z,84,H,H,1
2026-07-21T00:00:41.909Z,85,H,T,0
2026-07-21T00:00:41.909Z,86,H,T,0
2026-07-21T00:00:41.909Z,87,H,H,1
2026-07-21T00:00:41.909Z,88,H,T,0
2026-07-21T00:00:41.909Z,89,H,H,1
2026-07-21T00:00:41.909Z,90,H,H,1
2026-07-21T00:00:41.909Z,91,H,H,1
2026-07-21T00:00:41.909Z,92,H,H,1
2026-07-21T00:00:41.909Z,93,H,H,1
2026-07-21T00:00:41.909Z,94,H,H,1
2026-07-21T00:00:41.909Z,95,H,H,1
2026-07-21T00:00:41.909Z,96,H,H,1
2026-07-21T00:00:41.909Z,97,H,H,1
2026-07-21T00:00:41.909Z,98,H,H,1
2026-07-21T00:00:41.909Z,99,H,H,1
2026-07-21T00:00:41.909Z,100,H,T,0
